,name,lon,lat
3085,Roebling St & N 4 St,-73.95739,40.71469
486,Broadway & W 29 St,-73.98855723,40.7462009
161,LaGuardia Pl & W 3 St,-73.99810231,40.72917025
2009,Catherine St & Monroe St,-73.99682619,40.71117444
3513,21 St & Hoyt Ave S,-73.923706,40.774645
3584,Eastern Pkwy & Franklin Ave,-73.9576801,40.6707767
471,Grand St & Havemeyer St,-73.95698119,40.71286844
3599,Franklin Ave & Empire Blvd,-73.9605695,40.66314
291,Madison St & Montgomery St,-73.984844,40.713126
455,1 Ave & E 44 St,-73.96905301,40.75001986
440,E 45 St & 3 Ave,-73.97282625,40.75255434
268,Howard St & Centre St,-73.99973337,40.71910537
3504,E 123 St & Lexington Ave,-73.9379,40.8029263
3409,Bergen St & Smith St,-73.99063168,40.6867443
531,Forsyth St & Broome St,-73.99266288,40.71893904
3143,5 Ave & E 78 St,-73.96427392959595,40.77632142182271
3082,Hope St & Union Ave,-73.95141312,40.71167351
520,W 52 St & 5 Ave,-73.97648516,40.75992262
3489,Gold St & Frankfort St,-74.00354146957397,40.71069994631387
529,W 42 St & 8 Ave,-73.99098507,40.7575699
3243,E 58 St & 1 Ave,-73.96226227283478,40.75892386377695
174,E 25 St & 1 Ave,-73.97738662,40.7381765
320,Leonard St & Church St,-74.005549,40.717571
72,W 52 St & 11 Ave,-73.99392888,40.76727216
3526,31 St & 23 Ave,-73.9125551,40.7747878
279,Peck Slip & Front St,-74.00167,40.707873
249,Harrison St & Hudson St,-74.0090009,40.71870987
312,Allen St & Stanton St,-73.989111,40.722055
401,Allen St & Rivington St,-73.98997825,40.72019576
238,Bank St & Washington St,-74.00859207,40.7361967
545,E 23 St & 1 Ave,-73.97809472,40.736502
3454,Leonard St & Maujer St,-73.94705951213837,40.7103685423523
280,E 10 St & 5 Ave,-73.99510132,40.73331967
282,Kent Ave & S 11 St,-73.96841526031494,40.707644944175705
323,Lawrence St & Willoughby St,-73.98631746,40.69236178
539,Metropolitan Ave & Bedford Ave,-73.96024116,40.71534825
3570,35 Ave & 37 St,-73.9236611,40.7557327
3534,Frederick Douglass Blvd & W 117 St,-73.954692,40.805159
3147,E 85 St & 3 Ave,-73.95407149,40.77801203
3620,11 St & 43 Ave,-73.9479119,40.7519071
3699,W 50 St & 9 Ave,-73.98917958140373,40.763604677958625
454,E 51 St & 1 Ave,-73.96592976,40.75455731
3244,University Pl & E 8 St,-73.99490341544151,40.73143724085228
3168,Central Park West & W 85 St,-73.96961715,40.78472675
3289,W 90 St & Amsterdam Ave,-73.97288918495178,40.79017948095081
248,Laight St & Hudson St,-74.00771779,40.72185379
3516,31 St & Astoria Blvd,-73.9184057,40.7699176
459,W 20 St & 11 Ave,-74.007756,40.746745
3162,W 78 St & Broadway,-73.98093133,40.78339981
3078,Broadway & Roebling St,-73.96063148975372,40.70924826276157
3105,N 15 St & Wythe Ave,-73.955736,40.724055
446,W 24 St & 7 Ave,-73.99529885,40.74487634
3370,E 78 St & 2 Ave,-73.95577801,40.7727966
3382,Carroll St & Smith St,-73.99475825,40.680611
415,Pearl St & Hanover Square,-74.00926027,40.7047177
3522,37 St & 24 Ave,-73.9120938,40.7701477
3055,Greene Ave & Nostrand Ave,-73.950916,40.6883337
303,Mercer St & Spring St,-73.99949601,40.72362738
281,Grand Army Plaza & Central Park S,-73.97371465,40.7643971
319,Fulton St & Broadway,-74.009447,40.711066
389,Broadway & Berry St,-73.96525063,40.71044554
242,Carlton Ave & Flushing Ave,-73.973736,40.697787
3083,Bushwick Ave & Powers St,-73.94100005,40.71247661
2002,Wythe Ave & Metropolitan Ave,-73.963198,40.716887
3263,Cooper Square & Astor Pl,-73.99075269699097,40.72951496224949
